"lambda","RSS","df","BIC","is_best"
1e+05,1.40311841450536,0,0.33869719848917,TRUE
79248.2898353917,1.40311841450536,0,0.33869719848917,FALSE
62802.9144183425,1.40311841450536,0,0.33869719848917,FALSE
49770.2356433211,1.40311841450536,0,0.33869719848917,FALSE
39442.0605943766,1.40311841450536,0,0.33869719848917,FALSE
31257.1584968824,1.40311841450536,0,0.33869719848917,FALSE
24770.7635599171,1.40311841450536,0,0.33869719848917,FALSE
19630.4065004027,1.40311841450536,0,0.33869719848917,FALSE
15556.7614393047,1.40311841450536,0,0.33869719848917,FALSE
12328.4673944207,1.40311841450536,0,0.33869719848917,FALSE
9770.09957299225,1.40311841450536,0,0.33869719848917,FALSE
7742.63682681127,1.40311841450536,0,0.33869719848917,FALSE
6135.90727341318,1.40311841450536,0,0.33869719848917,FALSE
4862.60158006535,1.40311841450536,0,0.33869719848917,FALSE
3853.52859371053,1.40311841450536,0,0.33869719848917,FALSE
3053.85550883342,1.40311841450536,0,0.33869719848917,FALSE
2420.12826479438,1.40311841450536,0,0.33869719848917,FALSE
1917.91026167249,1.40311841450536,0,0.33869719848917,FALSE
1519.91108295293,1.40311841450536,0,0.33869719848917,FALSE
1204.50354025878,1.40311841450536,0,0.33869719848917,FALSE
954.548456661834,1.40311841450536,0,0.33869719848917,FALSE
756.463327554629,1.40311841450536,0,0.33869719848917,FALSE
599.484250318941,1.40311841450536,0,0.33869719848917,FALSE
475.08101621028,1.40311841450536,0,0.33869719848917,FALSE
376.493580679247,1.40311841450536,0,0.33869719848917,FALSE
298.364724028334,1.40311841450536,0,0.33869719848917,FALSE
236.448941264541,1.40311841450536,0,0.33869719848917,FALSE
187.381742286039,1.40311841450536,0,0.33869719848917,FALSE
148.496826225447,1.40311841450536,0,0.33869719848917,FALSE
117.6811952435,1.40311841450536,0,0.33869719848917,FALSE
93.260334688322,1.40311841450536,0,0.33869719848917,FALSE
73.9072203352578,1.40311841450536,0,0.33869719848917,FALSE
58.5702081805667,1.40311841450536,0,0.33869719848917,FALSE
46.4158883361278,1.40311841450536,0,0.33869719848917,FALSE
36.7837977182863,1.40311841450536,0,0.33869719848917,FALSE
29.1505306282518,1.40311841450536,0,0.33869719848917,FALSE
23.1012970008316,1.40311841450536,0,0.33869719848917,FALSE
18.3073828029537,1.40311841450536,0,0.33869719848917,FALSE
14.5082877849594,1.40311841450536,0,0.33869719848917,FALSE
11.4975699539774,1.40311841450536,0,0.33869719848917,FALSE
9.11162756115489,1.40311841450536,0,0.33869719848917,FALSE
7.22080901838547,1.40311841450536,0,0.33869719848917,FALSE
5.72236765935022,1.40311841450536,0,0.33869719848917,FALSE
4.53487850812858,1.40311841450536,0,0.33869719848917,FALSE
3.59381366380463,1.40311841450536,0,0.33869719848917,FALSE
2.84803586843581,1.40311841450536,0,0.33869719848917,FALSE
2.25701971963392,1.40311841450536,0,0.33869719848917,FALSE
1.78864952905744,1.40311841450536,0,0.33869719848917,FALSE
1.4174741629268,1.40311841450536,0,0.33869719848917,FALSE
1.12332403297803,1.40311841450536,0,0.33869719848917,FALSE
0.890215085445039,1.40311841450536,0,0.33869719848917,FALSE
0.705480231071865,1.40311841450536,0,0.33869719848917,FALSE
0.559081018251222,1.40311841450536,0,0.33869719848917,FALSE
0.443062145758388,1.40311841450536,0,0.33869719848917,FALSE
0.351119173421513,1.40311841450536,0,0.33869719848917,FALSE
0.278255940220713,1.40311841450536,0,0.33869719848917,FALSE
0.220513073990305,1.40311841450536,0,0.33869719848917,FALSE
0.174752840000768,1.40311841450536,0,0.33869719848917,FALSE
0.138488637139387,1.40311841450536,0,0.33869719848917,FALSE
0.109749876549306,1.40311841450536,0,0.33869719848917,FALSE
0.0869749002617783,1.40311841450536,0,0.33869719848917,FALSE
0.068926121043497,1.40311841450536,0,0.33869719848917,FALSE
0.0546227721768435,1.40311841450536,0,0.33869719848917,FALSE
0.0432876128108306,1.40311841450536,0,0.33869719848917,FALSE
0.0343046928631492,1.40311841450536,0,0.33869719848917,FALSE
0.0271858824273294,1.38528759783128,3,0.404428055350938,FALSE
0.0215443469003188,1.31555285984616,10,0.535991287695975,FALSE
0.0170735264747069,1.25651425206249,12,0.542422562223531,FALSE
0.0135304777457981,1.20299875539333,15,0.57741882942904,FALSE
0.0107226722201032,1.13963619610743,23,0.732697940021527,FALSE
0.00849753435908644,1.07832799015241,28,0.808267681345289,FALSE
0.00673415065775083,1.01043549660677,36,0.952624847533616,FALSE
0.00533669923120631,0.948356614093726,44,1.09860618034127,FALSE
0.0042292428743895,0.887802276597716,55,1.32053234347846,FALSE
0.00335160265093884,0.833233125381157,66,1.54500446533316,FALSE
0.00265608778294669,0.780277637558427,72,1.63638137266503,FALSE
0.00210490414451202,0.723217831817154,82,1.82217632100994,FALSE
0.00166810053720006,0.663421696797073,91,1.97143754305327,FALSE
0.00132194114846603,0.611685331587384,98,2.07345869711186,FALSE
0.00104761575278967,0.565189024457473,104,2.151441513466,FALSE
0.000830217568131973,0.522016045481499,112,2.28136703533524,FALSE
0.000657933224657568,0.484217557607428,114,2.25854987130212,FALSE
0.00052140082879997,0.453411663097754,120,2.34985659858141,FALSE
0.000413201240011533,0.426058841076312,121,2.31380702699172,FALSE
0.000327454916287773,0.403431930662142,126,2.39010448424458,FALSE
0.000259502421139973,0.382134964606336,130,2.44056427857697,FALSE
0.000205651230834865,0.362525613652573,131,2.41405898050072,FALSE
0.000162975083462065,0.347031046660201,133,2.42272495487436,FALSE
0.000129154966501488,0.335054340241957,137,2.49229714950735,FALSE
0.000102353102189903,0.324491667265234,141,2.56495799215698,FALSE
8.11130830789689e-05,0.3142052478844,143,2.58509142001971,FALSE
6.42807311728432e-05,0.303829575828435,145,2.60385878728536,FALSE
5.09413801481639e-05,0.29521367138104,146,2.60126468129337,FALSE
