date,actual_3m,actual_6m,actual_12m,ensemble_forecast_3m,ensemble_forecast_6m,ensemble_forecast_12m
2011-10-01,0.113298866160127,0.0798665324374466,0.1258014102553585,0.004927753883264289,0.022202871778957477,-0.012918551624284907
2012-01-01,-0.0334323337226804,0.02260427430461329,0.108055553806049,0.00194930558679243,0.023199985195503564,-0.06316325902999896
2012-04-01,0.0560366080272937,0.0459348778179119,0.1648492713995292,-0.0015638474643780668,0.010822128744351888,-0.01783939837661006
2012-07-01,-0.0101017302093818,0.08545127950143569,0.1546077039538926,7.956120116161686e-5,0.013708969222626509,-0.010173030768814291
2012-10-01,0.0955530097108175,0.11891439358161728,0.2592922064940661,-0.0018367391643588696,0.013192239384531228,0.006516323088210076
2013-01-01,0.0233613838707998,0.0691564244524569,0.1766294228364138,0.00539395150364148,0.004780400441574924,-0.09111026212073842
2013-04-01,0.0457950405816571,0.1403778129124488,0.1991408667668073,-0.0026822157009514726,-0.004564498151170893,-0.1399944024797102
2013-07-01,0.0945827723307917,0.1074729983839569,0.1594793170804465,0.00648364401672774,0.014778936304711587,-0.09826176190107257
2013-10-01,0.0128902260531652,0.05876305385435849,0.10787310015833212,-0.0012584391314480238,0.017110264217207488,-0.17174319761704318
2014-01-01,0.0458728278011933,0.0520063186964896,0.09933972650314282,0.003796571619842627,0.014786422421374337,-0.12819373693643624
2014-04-01,0.00613349089529631,0.04911004630397361,0.05115279164166589,0.004281609987225283,0.011808999450319458,-0.1315973677102636
2014-07-01,0.0429765554086773,0.04733340780665323,-0.02685447817033271,1.3507736775474703e-4,0.008819024855603947,-0.10327229840805745
2014-10-01,0.00435685239797593,0.00204274533769227,-0.00729257076320162,0.0013440280719893439,-0.0017674375355104545,-0.11017982354081153
2015-01-01,-0.00231410706028365,-0.07418788597698595,-0.00394895075488668,-4.5092432600641355e-4,-0.0049855790814307376,-0.09223806797906098
2015-04-01,-0.0718737789167023,-0.0093353161008939,0.01717973524798016,-0.0013373242506304294,-0.002087445114628416,-0.08326726285662832
2015-07-01,0.0625384628158084,0.07023893522209926,0.12158878854692969,0.0033302367418551362,-0.011032759397927208,-0.1321279610126571
2015-10-01,0.00770047240629086,0.02651505134887406,0.09107411914366095,4.949588619093601e-4,-0.001597459203016736,-0.16663118013718994
2016-01-01,0.0188145789425832,0.0513498533248304,0.1372337242256862,-7.12674708772965e-5,0.0011200878139011842,-0.15536548792133512
2016-04-01,0.0325352743822472,0.0645590677947869,0.1437812627420034,0.005265956997868393,0.0061424869202690606,-0.1801389959060018
2016-07-01,0.0320237934125397,0.08588387090085581,0.15007532891658662,0.007287082058336727,0.006963473491946817,-0.1654972033002706
2016-10-01,0.0538600774883161,0.0792221949472165,0.1774762511670555,0.010060080164187487,0.009629892732028423,-0.10946046610571818
2017-01-01,0.0253621174589004,0.0641914580157308,0.1112949228552563,0.011485619313116596,0.00890302249904896,-0.12335049206104086
2017-04-01,0.0388293405568304,0.098254056219839,0.1148568330429242,0.010203523468565153,0.00967254201604674,-0.08195736499603942
2017-07-01,0.0594247156630086,0.0471034648395255,0.1455149008464095,0.005958238211168524,0.011647159137301551,-0.12755783938463233
2017-10-01,-0.0123212508234831,0.0166027768230852,-0.0644026742310401,0.00941210765363696,0.010986165529168151,-0.1998992093020194
2018-01-01,0.0289240276465683,0.098411436006884,0.070721831669313,0.008054240797463233,0.008799690235713782,-0.21953071428274998
2018-04-01,0.0694874083603157,-0.0810054510541253,0.07897560912141721,0.008959222153944443,-0.008252955366978362,-0.2375071889909345
2018-07-01,-0.150492859414441,-0.02768960433757099,0.02130889428420951,0.002059417723081407,-0.008469682070840645,-0.279844806770617
2018-10-01,0.12280325507687,0.1599810601755425,0.2536966182087341,0.00300118648656313,-0.004822364339359074,-0.17866321094014861
2019-01-01,0.0371778050986725,0.0489984986217805,-0.09226335196308588,0.00595154444188565,-0.0029524910017371757,-0.19143982604887666
2019-04-01,0.011820693523108,0.0937155580331916,0.05248761041024161,-0.0017602565157914887,-0.004289260621610216,-0.21097387603932846
2019-07-01,0.0818948645100836,-0.1412618505848664,0.1220046941424464,0.0019720716405224868,-0.00517749448554626,-0.21505230827417166
2019-10-01,-0.22315671509495,-0.04122794762294998,0.1506495948942928,-0.0011272072022064765,-0.014291450016727894,-0.2274959561769255
2020-01-01,0.181928767472,0.2632665447273128,0.429926901531869,0.002535089295218894,-0.012635170142421763,-0.1346482764690596
2020-04-01,0.0813377772553128,0.1918775425172428,0.32653780277204714,0.00703492238320939,-0.020012695435285444,-0.2026260344059588
2020-07-01,0.11053976526193,0.1666603568045562,0.24753354274754388,0.0010657651185423296,-0.016768545484507028,-0.25916776654761114
2020-10-01,0.0561205915426262,0.1346602602548043,0.23817194746324588,-0.010952036995757801,-0.025167434842270252,-0.1573768912809719
2021-01-01,0.0785396687121781,0.08087318594298766,0.13131865356294598,0.0018406736760927765,-0.027605059038554407,-0.42834127215919443
2021-04-01,0.00233351723080956,0.10351168720844156,-0.12688718012363714,-9.701064136332106e-4,-0.020179789993866937,-0.4039493834106584
2021-07-01,0.101178169977632,0.0504454676199583,-0.1834355735896835,0.006314560637409437,-0.019951809211034444,-0.4778011482559081
2021-10-01,-0.0507327023576737,-0.2303988673320787,-0.2162029956948472,0.006906857834179751,-0.013410804128186056,-0.38596712400724503
2022-01-01,-0.179666164974405,-0.2338810412096418,-0.097557311923134,0.006331231794773881,-0.012577663685136154,-0.33150962033124776
2022-04-01,-0.0542148762352368,0.0141958716372315,0.1618432076395493,2.2742789707828372e-4,-0.02618550189347657,-0.2251790135401216
2022-07-01,0.0684107478724683,0.1363237292865078,0.1789006822322867,-0.005683019753544014,-0.012979759239471469,-0.10589345949079411
2022-10-01,0.0679129814140395,0.14764733600231775,0.2169685150636914,-0.001854529647535949,-0.005309619478821129,-0.18082431179286193
2023-01-01,0.0797343545882783,0.04257695294577889,NA,5.408002581530139e-4,-0.0057679036443067586,NA
2023-04-01,-0.0371574016424994,0.06932117906137361,NA,0.0015837530141019202,-0.002412170856243491,NA
2023-07-01,0.106478580703873,NA,NA,-0.0054139259992395895,NA,NA
