date,target_date,actual,forecast,mean_prevailing_pred,horizon,err,err_mean
2011-07-01,2011-10-01,0.105731661708056,-0.012911519143595163,0.011294236291257588,3m,0.11864318085165115,0.0944374254167984
2011-10-01,2012-01-01,0.113298866160127,-0.013173283172406236,0.008307388870966522,3m,0.12647214933253323,0.10499147728916047
2012-01-01,2012-04-01,-0.0334323337226804,-0.022475943937942312,0.008821845585727397,3m,-0.010956389784738091,-0.0422541793084078
2012-04-01,2012-07-01,0.0560366080272937,-0.0328935257940186,0.010345625441418376,3m,0.08893013382131229,0.04569098258587532
2012-07-01,2012-10-01,-0.0101017302093818,-0.027670862209783053,0.007184685492085235,3m,0.017569132000401253,-0.017286415701467037
2012-10-01,2013-01-01,0.0955530097108175,-0.03316940176823171,0.006987814035283033,3m,0.1287224114790492,0.08856519567553446
2013-01-01,2013-04-01,0.0233613838707998,-0.011404015327099566,0.006417042661529341,3m,0.034765399197899366,0.016944341209270457
2013-04-01,2013-07-01,0.0457950405816571,-0.035781757288254626,0.005894328965317049,3m,0.08157679786991173,0.039900711616340054
2013-07-01,2013-10-01,0.0945827723307917,-0.008166961472261683,0.005805180744221154,3m,0.10274973380305338,0.08877759158657055
2013-10-01,2014-01-01,0.0128902260531652,-0.03148592448890397,0.008380817287527789,3m,0.04437615054206917,0.004509408765637412
2014-01-01,2014-04-01,0.0458728278011933,-0.016380954475616227,0.006798513372467718,3m,0.06225378227680953,0.03907431442872558
2014-04-01,2014-07-01,0.00613349089529631,-0.014701080632116859,0.006256078120338173,3m,0.02083457152741317,-1.2258722504186227e-4
2014-07-01,2014-10-01,0.0429765554086773,-0.02711754858563116,0.005937915418911708,3m,0.07009410399430846,0.037038639989765594
2014-10-01,2015-01-01,0.00435685239797593,-0.023192582754316172,0.007170337947390184,3m,0.0275494351522921,-0.0028134855494142547
2015-01-01,2015-04-01,-0.00231410706028365,-0.028378182502894145,0.005623663218165672,3m,0.026064075442610496,-0.007937770278449323
2015-04-01,2015-07-01,-0.0718737789167023,-0.030879671446497697,0.0053668453154820835,3m,-0.0409941074702046,-0.07724062423218438
2015-07-01,2015-10-01,0.0625384628158084,-0.01677132768489169,0.005824727603332536,3m,0.07930979050070008,0.05671373521247586
2015-10-01,2016-01-01,0.00770047240629086,-0.02549445635271592,0.004835404420735809,3m,0.03319492875900678,0.0028650679855550514
2016-01-01,2016-04-01,0.0188145789425832,-0.02744547491982079,0.007283924225358067,3m,0.04626005386240399,0.011530654717225135
2016-04-01,2016-07-01,0.0325352743822472,-0.011801607039007128,0.009564588563738432,3m,0.04433688142125433,0.022970685818508772
2016-07-01,2016-10-01,0.0320237934125397,-0.005727903994712024,0.008982117961655389,3m,0.03775169740725172,0.02304167545088431
2016-10-01,2017-01-01,0.0538600774883161,0.0030796474554084683,0.01223009105807214,3m,0.050780430032907636,0.04162998643024396
2017-01-01,2017-04-01,0.0253621174589004,0.0076460582207931935,0.011131040435008056,3m,0.017716059238107207,0.014231077023892345
2017-04-01,2017-07-01,0.0388293405568304,0.003783609611452761,0.012038728127969037,3m,0.035045730945377634,0.02679061242886136
2017-07-01,2017-10-01,0.0594247156630086,-0.008911222766703135,0.014923631273208409,3m,0.06833593842971174,0.044501084389800195
2017-10-01,2018-01-01,-0.0123212508234831,0.001287503075300388,0.01880360573828888,3m,-0.013608753898783488,-0.03112485656177198
2018-01-01,2018-04-01,0.0289240276465683,-0.002859414343337004,0.018524459950579716,3m,0.031783441989905306,0.010399567695988585
2018-04-01,2018-07-01,0.0694874083603157,9.283851790032824e-5,0.018929513498145555,3m,0.06939456984241536,0.05055789486217014
2018-07-01,2018-10-01,-0.150492859414441,-0.020855740125118986,0.01709754890642804,3m,-0.129637119289322,-0.16759040832086902
2018-10-01,2019-01-01,0.12280325507687,-0.01821915841984531,0.017892633111076268,3m,0.1410224134967153,0.10491062196579373
2019-01-01,2019-04-01,0.0371778050986725,-0.009629799984920058,0.013548978902044534,3m,0.04680760508359256,0.02362882619662797
2019-04-01,2019-07-01,0.011820693523108,-0.033225294141687074,0.015382870446290636,3m,0.045045987664795076,-0.0035621769231826365
2019-07-01,2019-10-01,0.0818948645100836,-0.02185903960479664,0.015787386865262966,3m,0.10375390411488024,0.06610747764482064
2019-10-01,2020-01-01,-0.22315671509495,-0.030904527110494233,0.0163725181046716,3m,-0.19225218798445576,-0.2395292331996216
2020-01-01,2020-04-01,0.181928767472,-0.019512770583779825,0.016341962070964007,3m,0.20144153805577983,0.165586805401036
2020-04-01,2020-07-01,0.0813377772553128,-0.005661625827634837,0.01305920957519329,3m,0.08699940308294764,0.06827856768011951
2020-07-01,2020-10-01,0.11053976526193,-0.02396451417478021,0.01594042209038433,3m,0.13450427943671023,0.09459934317154567
2020-10-01,2021-01-01,0.0561205915426262,-0.0604874045092209,0.016779786855985735,3m,0.1166079960518471,0.03934080468664046
2021-01-01,2021-04-01,0.0785396687121781,-0.021692421036204473,0.01835997638786834,3m,0.10023208974838257,0.06017969232430976
2021-04-01,2021-07-01,0.00233351723080956,-0.02939760058697013,0.018685239619327776,3m,0.031731117817779694,-0.016351722388518217
2021-07-01,2021-10-01,0.101178169977632,-0.007088572197830195,0.020314318164802187,3m,0.1082667421754622,0.08086385181282982
2021-10-01,2022-01-01,-0.0507327023576737,-0.00487583730874045,0.019513357131788894,3m,-0.04585686504893325,-0.0702460594894626
2022-01-01,2022-04-01,-0.179666164974405,-0.006522578103871364,0.02020143623608142,3m,-0.17314358687053363,-0.1998676012104864
2022-04-01,2022-07-01,-0.0542148762352368,-0.025080405512346752,0.0193258353505298,3m,-0.029134470722890046,-0.0735407115857666
2022-07-01,2022-10-01,0.0684107478724683,-0.042949665178074546,0.015390854302427912,3m,0.11136041305054284,0.05301989357004039
2022-10-01,2023-01-01,0.0679129814140395,-0.03292998212651005,0.014229835146581458,3m,0.10084296354054954,0.053683146267458036
2023-01-01,2023-04-01,0.0797343545882783,-0.02693778577888726,0.016019988116855434,3m,0.10667214036716555,0.06371436647142287
2023-04-01,2023-07-01,-0.0371574016424994,-0.024482539155367446,0.018893000485877293,3m,-0.012674862487131955,-0.0560504021283767
2023-07-01,2023-10-01,0.106478580703873,-0.04521988715835217,0.02076882346432091,3m,0.15169846786222518,0.0857097572395521
2011-04-01,2011-10-01,-0.04891132488927501,0.01264946791663921,0.011996145785198772,6m,-0.06156079280591421,-0.06090747067447378
2011-07-01,2012-01-01,0.219030527868183,-0.00698012552412537,0.011294236291257588,6m,0.22601065339230836,0.2077362915769254
2011-10-01,2012-04-01,0.0798665324374466,-0.015963559928348987,0.008307388870966522,6m,0.09583009236579558,0.07155914356648008
2012-01-01,2012-07-01,0.022604274304613294,-0.019175485504692513,0.008821845585727397,6m,0.0417797598093058,0.013782428718885896
2012-04-01,2012-10-01,0.0459348778179119,-0.061549302521126344,0.010345625441418376,6m,0.10748418033903824,0.03558925237649352
2012-07-01,2013-01-01,0.08545127950143569,-0.04135881508648797,0.007184685492085235,6m,0.12681009458792367,0.07826659400935046
2012-10-01,2013-04-01,0.11891439358161729,-0.031880598762647726,0.006987814035283033,6m,0.15079499234426502,0.11192657954633425
2013-01-01,2013-07-01,0.0691564244524569,-0.057345218362294934,0.006417042661529341,6m,0.12650164281475185,0.06273938179092756
2013-04-01,2013-10-01,0.1403778129124488,-0.08192587437566018,0.005894328965317049,6m,0.22230368728810898,0.13448348394713175
2013-07-01,2014-01-01,0.1074729983839569,-0.026414141500539043,0.005805180744221154,6m,0.13388713988449594,0.10166781763973574
2013-10-01,2014-04-01,0.058763053854358496,-0.01440938697359604,0.008380817287527789,6m,0.07317244082795454,0.050382236566830704
2014-01-01,2014-07-01,0.052006318696489605,-0.02198270897755819,0.006798513372467718,6m,0.0739890276740478,0.04520780532402189
2014-04-01,2014-10-01,0.04911004630397361,-0.029530265913158528,0.006256078120338173,6m,0.07864031221713214,0.04285396818363543
2014-07-01,2015-01-01,0.04733340780665323,-0.031245473528323967,0.005937915418911708,6m,0.0785788813349772,0.041395492387741525
2014-10-01,2015-04-01,0.0020427453376922794,-0.06253766522069996,0.007170337947390184,6m,0.06458041055839224,-0.005127592609697905
2015-01-01,2015-07-01,-0.07418788597698595,-0.06534589096425741,0.005623663218165672,6m,-0.008841995012728532,-0.07981154919515161
2015-04-01,2015-10-01,-0.0093353161008939,-0.053551015265015656,0.0053668453154820835,6m,0.044215699164121755,-0.014702161416375984
2015-07-01,2016-01-01,0.07023893522209926,-0.07482440996016973,0.005824727603332536,6m,0.145063345182269,0.06441420761876672
2015-10-01,2016-04-01,0.02651505134887406,-0.04408175986682611,0.004835404420735809,6m,0.07059681121570016,0.02167964692813825
2016-01-01,2016-07-01,0.0513498533248304,-0.039992944769948656,0.007283924225358067,6m,0.09134279809477905,0.04406592909947233
2016-04-01,2016-10-01,0.0645590677947869,-0.030553347554777222,0.009564588563738432,6m,0.09511241534956412,0.05499447923104847
2016-07-01,2017-01-01,0.08588387090085581,-0.02873385509018795,0.008982117961655389,6m,0.11461772599104375,0.07690175293920042
2016-10-01,2017-04-01,0.0792221949472165,-0.02099628981439903,0.01223009105807214,6m,0.10021848476161552,0.06699210388914435
2017-01-01,2017-07-01,0.0641914580157308,-0.01819475228798272,0.011131040435008056,6m,0.08238621030371351,0.053060417580722746
2017-04-01,2017-10-01,0.098254056219839,-0.013997353241924382,0.012038728127969037,6m,0.11225140946176339,0.08621532809186996
