date,tbill_return_3m,tbill_return_6m,tbill_return_12m
2011-10-01,2.5000625015758615e-5,3e-4,0.0012
2012-01-01,1.7503063036028443e-4,7.5e-4,0.0019
2012-04-01,2.2505063639322032e-4,8e-4,0.0021
2012-07-01,2.500625156289793e-4,7.000000000000001e-4,0.0017000000000000001
2012-10-01,2.2505063639322032e-4,5.5e-4,0.0016
2013-01-01,2.2505063639322032e-4,5.5e-4,0.0014000000000000002
2013-04-01,1.250156269534397e-4,5e-4,0.0015
2013-07-01,7.500562542195333e-5,2e-4,0.001
2013-10-01,1.5002250337547984e-4,5e-4,0.0013
2014-01-01,1.250156269534397e-4,3.5000000000000005e-4,0.0013
2014-04-01,7.500562542195333e-5,3.5000000000000005e-4,0.0011
2014-07-01,7.500562542195333e-5,1.5e-4,0.0013
2014-10-01,5.0002500125101434e-5,6e-4,0.0025
2015-01-01,7.500562542195333e-5,7.000000000000001e-4,0.0026
2015-04-01,5.0002500125101434e-5,5.5e-4,0.0028000000000000004
2015-07-01,1.0001000100001711e-4,4e-4,0.0033
2015-10-01,3.0009002700803755e-4,0.00245,0.006500000000000001
2016-01-01,7.255260063545599e-4,0.0019500000000000001,0.0059
2016-04-01,6.504227748036495e-4,0.0018,0.0045000000000000005
2016-07-01,7.505629221917776e-4,0.0022500000000000003,0.0059
2016-10-01,0.0010761568686339373,0.0031,0.0085
2017-01-01,0.0014771788387872853,0.00455,0.0103
2017-04-01,0.0022299616647039056,0.005699999999999999,0.0124
2017-07-01,0.002606777621816825,0.006,0.0131
2017-10-01,0.0030341783896286056,0.0076500000000000005,0.0176
2018-01-01,0.003915269551249878,0.009649999999999999,0.0209
2018-04-01,0.004621257785814903,0.010549999999999999,0.0233
2018-07-01,0.005126143330987931,0.0118,0.0259
2018-10-01,0.005833836250251467,0.0128,0.0263
2019-01-01,0.006010915218430002,0.012199999999999999,0.024
2019-04-01,0.00578325370882582,0.01045,0.0192
2019-07-01,0.004974624390734039,0.00915,0.0175
2019-10-01,0.003965664374278477,0.008,0.0159
2020-01-01,0.002782722053698894,7.5e-4,0.0017000000000000001
2020-04-01,3.5012254288990796e-4,9e-4,0.0016
2020-07-01,0.00027507564580253607,5.5e-4,0.0012
2020-10-01,2.2505063639322032e-4,4.5e-4,0.001
2021-01-01,1.250156269534397e-4,2.5e-4,7.000000000000001e-4
2021-04-01,7.500562542195333e-5,3e-4,7.000000000000001e-4
2021-07-01,1.250156269534397e-4,2.5e-4,9e-4
2021-10-01,1.250156269534397e-4,9.5e-4,0.0039000000000000003
2022-01-01,7.756010908452904e-4,0.0053,0.0163
2022-04-01,0.002707309736287966,0.012549999999999999,0.027999999999999997
2022-07-01,0.006694518548346462,0.0196,0.0405
2022-10-01,0.010203050813213377,0.023799999999999998,0.0473
2023-01-01,0.011710549611755994,0.024700000000000003,0.0464
2023-04-01,0.012837718076621263,0.02735,0.054000000000000006
2023-07-01,0.013402244685972065,0.02765,0.0546
2023-10-01,0.01337657073368459,0.0263,0.0479
2024-01-01,0.013248220482812822,0.0269,0.050300000000000004
2024-04-01,0.01327388793190809,0.02665,0.0509
2024-07-01,0.012632591579960106,0.0219,0.0398
2024-10-01,0.011122345803842304,0.0212,0.0416
