date,actual_12m,actual_3m,actual_6m,rf_forecast_12m,rf_forecast_3m,rf_forecast_6m,lasso_forecast_3m,lasso_forecast_6m,lasso_forecast_12m,ridge_forecast_3m,ridge_forecast_6m,ridge_forecast_12m,pcr_forecast_3m,pcr_forecast_6m,pcr_forecast_12m,elastic_forecast_3m,elastic_forecast_6m,elastic_forecast_12m,ensemble_forecast_3m,ensemble_forecast_6m,ensemble_forecast_12m
2011-10-01,0.1258014102553585,0.113298866160127,0.0798665324374466,-0.06504176205451412,-0.01317328317240623,-0.01596355992834898,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152738762509859,0.0308407971278299,0.0613095069350047,0.0126826685712132,0.0517313781373915,-0.0350233997533453,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.004927753883264289,0.022202871778957477,-0.012918551624284907
2012-01-01,0.108055553806049,-0.0334323337226804,0.02260427430461329,-0.06890810182356719,-0.02247594393794231,-0.01917548550469251,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152735098781958,0.0308417779354207,0.0613367190604573,0.0130503508201238,0.0579336631557825,-0.181918394326887,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.00194930558679243,0.023199985195503564,-0.06316325902999896
2012-04-01,0.1648492713995292,0.0560366080272937,0.0459348778179119,-0.07234062512286338,-0.0328935257940186,-0.06154930252112634,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152661926526821,0.0308321016426751,0.0613717208621558,0.0129357907482023,0.0631835871115069,-0.0425492908691226,0.0152665288373866,0.0308379842568889,0.0613366846204057,-0.0015638474643780668,0.010822128744351888,-0.01783939837661006
2012-07-01,0.1546077039538926,-0.0101017302093818,0.08545127950143569,-0.07862516772143167,-0.02767086220978305,-0.04135881508648797,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152606541570792,0.0308348433070956,0.0613467328468415,0.0126488916561887,0.0516508794472719,-0.0132406574318527,0.0152665288373866,0.0308379842568889,0.0613366846204057,7.956120116161686e-5,0.013708969222626509,-0.010173030768814291
2012-10-01,0.2592922064940661,0.0955530097108175,0.11891439358161728,-0.07452717855000547,-0.03316940176823171,-0.03188059876264772,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152690106896969,0.0308541424667707,0.0613287255524655,0.0123901735854582,0.0406031744494707,0.0327474222621702,0.0152665288373866,0.0308379842568889,0.0613366846204057,-0.0018367391643588696,0.013192239384531228,0.006516323088210076
2013-01-01,0.1766294228364138,0.0233613838707998,0.0691564244524569,-0.06502456724974444,-0.01140401532709956,-0.05734521836229493,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152625374369266,0.0308124165117546,0.0612722466127892,0.0123233324010974,0.0408740031752651,-0.26957846572526,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.00539395150364148,0.004780400441574924,-0.09111026212073842
2013-04-01,0.1991408667668073,0.0457950405816571,0.1403778129124488,-0.02896484444541591,-0.03578175728825462,-0.08192587437566018,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152551566380177,0.0308087776383829,0.0612633896725633,0.0124799535473825,0.0374236022837646,-0.452281752666278,0.0152665288373866,0.0308379842568889,0.0613366846204057,-0.0026822157009514726,-0.004564498151170893,-0.1399944024797102
2013-07-01,0.1594793170804465,0.0945827723307917,0.1074729983839569,0.00572978913530415,-0.00816696147226168,-0.02641414150053904,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152639881662227,0.0308298851897973,0.0612974523312921,0.0123539053562222,0.0399210652248765,-0.361812527169814,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.00648364401672774,0.014778936304711587,-0.09826176190107257
2013-10-01,0.10787310015833212,0.0128902260531652,0.05876305385435849,0.01222931355539386,-0.03148592448890397,-0.01440938697359604,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152604549315766,0.0308156256273423,0.0612532519337536,0.0124501521629833,0.0349245539978762,-0.588712158340277,0.0152665288373866,0.0308379842568889,0.0613366846204057,-0.0012584391314480238,0.017110264217207488,-0.17174319761704318
2014-01-01,0.09933972650314282,0.0458728278011933,0.0520063186964896,0.0201743614566397,-0.01638095447561622,-0.02198270897755819,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152614784813888,0.0308205764421892,0.0612652908132716,0.0125091908537553,0.035521399799492,-0.46602086307922,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.003796571619842627,0.014786422421374337,-0.12819373693643624
2014-04-01,0.05115279164166589,0.00613349089529631,0.04911004630397361,-0.03104369711420377,-0.01470108063211685,-0.02953026591315852,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152556362101458,0.0307993289107641,0.061249387871614,0.0122902743836469,0.0341579353533528,-0.424997793888201,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.004281609987225283,0.011808999450319458,-0.1315973677102636
2014-07-01,-0.02685447817033271,0.0429765554086773,0.04733340780665323,-0.03439236949994947,-0.02711754858563116,-0.03124547352832396,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152496039824215,0.030794635627004,0.0612223603236161,0.0122731767064739,0.0269079124681318,-0.336646886047839,0.0152665288373866,0.0308379842568889,0.0613366846204057,1.3507736775474703e-4,0.008819024855603947,-0.10327229840805745
2014-10-01,-0.00729257076320162,0.00435685239797593,0.00204274533769227,-0.03074021028503733,-0.02319258275431617,-0.06253766522069996,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152493618505387,0.0307893506276471,0.0612085315476737,0.0119753051197455,0.0264460019865215,-0.361007791885071,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0013440280719893439,-0.0017674375355104545,-0.11017982354081153
2015-01-01,-0.00394895075488668,-0.00231410706028365,-0.07418788597698595,-0.03952305956663286,-0.02837818250289414,-0.06534589096425741,0.0152665288373866,0.0308379842568889,0.0613366846204057,0.0152504172579765,0.0307876810617468,0.0611918797392079,0.0117749922668984,0.0196014726582184,-0.298383024109758,0.0152665288373866,0.0308379842568889,0.0613366846204057,-4.5092432600641355e-4,-0.0049855790814307376,-0.09223806797906098
