date,target_date,actual,forecast,mean_prevailing_pred,horizon
1962-10-01,1963-01-01,0.0535332560654446,0.05283814555203927,NA,3m
1963-01-01,1963-04-01,0.0412004717845979,0.040978427221214996,NA,3m
1963-04-01,1963-07-01,0.0330362502083646,0.03286451167115214,NA,3m
1963-07-01,1963-10-01,0.0452639970481665,0.02605271783877789,NA,3m
1963-10-01,1964-01-01,0.0514399112047622,0.04210991562459898,NA,3m
1964-01-01,1964-04-01,0.0337369394952745,0.029675840005787893,NA,3m
1964-04-01,1964-07-01,0.0300257679886467,0.027493947547489225,NA,3m
1964-07-01,1964-10-01,0.00674838291813495,0.009465921283416046,NA,3m
1964-10-01,1965-01-01,0.0165002865875734,0.01613145420863884,NA,3m
1965-01-01,1965-04-01,-0.023961682013634,-0.0029570791905302023,NA,3m
1965-04-01,1965-07-01,0.0671207762566157,0.04604332638364547,NA,3m
1965-07-01,1965-10-01,0.0270864741855714,0.02205374684726784,NA,3m
1965-10-01,1966-01-01,-0.0352342953646262,-0.009469469855802527,NA,3m
1966-01-01,1966-04-01,-0.051629560713647,-0.02540249638694978,NA,3m
1966-04-01,1966-07-01,-0.101512998053714,-0.05775766856352862,NA,3m
1966-07-01,1966-10-01,0.0480684030410222,0.03254883477773374,NA,3m
1966-10-01,1967-01-01,0.115886276882857,0.06314799143366877,NA,3m
1967-01-01,1967-04-01,0.00486618965117291,0.015318137507046194,NA,3m
1967-04-01,1967-07-01,0.064821193009121,0.04213718444989782,NA,3m
1967-07-01,1967-10-01,-0.00248473054640952,0.006361824989936455,NA,3m
1967-10-01,1968-01-01,-0.0672026521138842,-0.038153127373078695,NA,3m
1968-01-01,1968-04-01,0.0989319141454587,0.05894612011213634,NA,3m
1968-04-01,1968-07-01,0.0305586200968368,0.02088503995068393,NA,3m
1968-07-01,1968-10-01,0.0115238771052996,0.008057420715768844,NA,3m
1968-10-01,1969-01-01,-0.0228865226198331,-0.011427379974087135,NA,3m
1969-01-01,1969-04-01,-0.038153407840088,-0.0298860565617646,NA,3m
1969-04-01,1969-07-01,-0.048114923973124,-0.03186125920010848,NA,3m
1969-07-01,1969-10-01,-0.0114484455940324,-0.013635827069231584,NA,3m
