date,target_date,actual,forecast,mean_prevailing_pred,horizon
1990-04-01,1990-10-01,-0.0808297517583593,-0.018285935426200335,0.02342667589073582,6m
1990-07-01,1991-01-01,0.2037640333183857,0.15644033932098564,0.02207856594164721,6m
1990-10-01,1991-04-01,0.11687413748129169,0.09995500237648983,0.021574675105012653,6m
1991-01-01,1991-07-01,0.0331319291526298,0.03534705686795109,0.02163067571376784,6m
1991-04-01,1991-10-01,0.116668789364583,0.09229936035587363,0.021583650649641385,6m
1991-07-01,1992-01-01,0.04000280691453981,0.03437093976026255,0.021159227456994632,6m
1991-10-01,1992-04-01,-0.021691773048621896,0.008332432600585771,0.021740016559933385,6m
1992-01-01,1992-07-01,0.0343555924398309,0.03807827433678197,0.02260305567581477,6m
1992-04-01,1992-10-01,0.065366631631256,0.05547302346418686,0.023523387020746703,6m
1992-07-01,1993-01-01,0.07794897556979419,0.06685829783393177,0.02336085916801752,6m
1992-10-01,1993-04-01,0.03344778307380872,0.040765331184993654,0.024419150137699023,6m
1993-01-01,1993-07-01,0.01594586829152412,0.030838985784057752,0.025367465248014184,6m
1993-04-01,1993-10-01,0.0347261659009653,0.03607572408266149,0.027032644729442792,6m
1993-07-01,1994-01-01,-0.0290945690474183,-0.003724741489999932,0.025849738887068124,6m
1993-10-01,1994-04-01,-0.048718347689448376,-0.015628334650064742,0.024977412110470484,6m
1994-01-01,1994-07-01,0.03729738401881892,0.04479697200213662,0.026327624409529612,6m
1994-04-01,1994-10-01,0.03320578669457783,0.0375699035697139,0.0246476336472152,6m
1994-07-01,1995-01-01,0.07892658322042102,0.06674050025751871,0.02437629443115869,6m
1994-10-01,1995-04-01,0.1706887014126298,0.13619820763746743,0.024047019114921953,6m
1995-01-01,1995-07-01,0.1545757001219571,0.12534278993386672,0.024134379253693376,6m
1995-04-01,1995-10-01,0.12280634688805331,0.11377809709555592,0.02650287189991136,6m
1995-07-01,1996-01-01,0.0994224189891344,0.08914066332550717,0.026033757920557583,6m
1995-10-01,1996-04-01,0.08508424837598011,0.08701970861046203,0.025643596810482755,6m
1996-01-01,1996-07-01,0.0627602174221984,0.06398660313724086,0.02520407832978019,6m
1996-04-01,1996-10-01,0.0994321174425364,0.09000168638999034,0.02595617207584408,6m
1996-07-01,1997-01-01,0.0967363336410718,0.09327069256115562,0.0271903079328523,6m
1996-10-01,1997-04-01,0.1780961380559763,0.15028877747704042,0.02962741191907515,6m
1997-01-01,1997-07-01,0.2240729586727338,0.15570775739431306,0.029985509609286285,6m
1997-04-01,1997-10-01,0.09199344765126549,0.09685937356829434,0.03185633494504524,6m
1997-07-01,1998-01-01,0.1510603836993947,0.12232571040356988,0.03481362022266072,6m
1997-10-01,1998-04-01,0.1556261086201085,0.11266435870679847,0.034376818133106654,6m
1998-01-01,1998-07-01,-0.0800328748801875,-0.03816293303193732,0.032192263971694564,6m
1998-04-01,1998-10-01,0.080777855217655,0.06847616324909762,0.03290797757365007,6m
1998-07-01,1999-01-01,0.2349573484153339,0.1406417066632174,0.031812447563561365,6m
1998-10-01,1999-04-01,0.11039893106771911,0.08436517072771338,0.030203547377054107,6m
1999-01-01,1999-07-01,-0.0028492709266310923,0.008112251576757492,0.03347703491027072,6m
1999-04-01,1999-10-01,0.06796517834873571,0.047708016010668236,0.034825732331325646,6m
1999-07-01,2000-01-01,0.1555429657211393,0.08410812200505799,0.0365488077777096,6m
1999-10-01,2000-04-01,-0.0100211177723195,0.0055910886708853726,0.0340690048285227,6m
2000-01-01,2000-07-01,-0.0423014322922095,-0.04284337068194369,0.036217957316739914,6m
2000-04-01,2000-10-01,-0.0968871134224258,-0.07275832419204231,0.03526094100550089,6m
2000-07-01,2001-01-01,-0.21351211335805811,-0.13523628393154546,0.03376287351712464,6m
2000-10-01,2001-04-01,-0.0753765728289652,-0.08330737106790831,0.034425428147026246,6m
2001-01-01,2001-07-01,-0.1085802963351922,-0.08496118547375037,0.030540247438485612,6m
2001-04-01,2001-10-01,-0.06437628060637321,-0.05890220451021003,0.02634024453449531,6m
2001-07-01,2002-01-01,0.09736564670704222,0.027785620087724325,0.02642345426323714,6m
2001-10-01,2002-04-01,-0.1483332553448046,-0.1079745162571891,0.025067956612937876,6m
2002-01-01,2002-07-01,-0.34170119860346004,-0.13594930434485278,0.025936771699837748,6m
2002-04-01,2002-10-01,-0.11779566442243951,-0.05560937995047098,0.022825319998327605,6m
2002-07-01,2003-01-01,0.0395489992481252,0.03677191666465383,0.019674755068527467,6m
2002-10-01,2003-04-01,0.1022174394721857,0.07595197434893461,0.01549200703918099,6m
2003-01-01,2003-07-01,0.1606242592310412,0.12562154196540865,0.021166752837795535,6m
2003-04-01,2003-10-01,0.1319087492088852,0.09561835759994168,0.019778160272636448,6m
2003-07-01,2004-01-01,0.1228961555495669,0.10789257847662977,0.02117721931175967,6m
2003-10-01,2004-04-01,0.0256765823824366,0.03764281341291565,0.021637433457660435,6m
2004-01-01,2004-07-01,-0.010380360881077298,0.020264614778173543,0.023120501964857147,6m
2004-04-01,2004-10-01,0.060441045691129,0.05581022313642356,0.022334645182532625,6m
2004-07-01,2005-01-01,0.0575366611838322,0.042257318480988744,0.02129219374063958,6m
2004-10-01,2005-04-01,-0.01713554878816942,-0.0026944940541954857,0.01934552170042473,6m
2005-01-01,2005-07-01,0.040031907879766085,0.026127624896822473,0.020539343299407847,6m
2005-04-01,2005-10-01,0.0467042846682022,0.03206460983561099,0.02075000768420257,6m
2005-07-01,2006-01-01,0.052333191004033594,0.039331533598036456,0.020037279304997532,6m
